valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,nom_commune,adresse_nom_voie,type_local,latitude,longitude
510925.0,32.0,2.0,75008,Paris 8e Arrondissement,RUE DE NAPLES,Appartement,48.879583,2.319673
630000.0,48.0,2.0,75009,Paris 9e Arrondissement,RUE TAITBOUT,Appartement,48.87569,2.335512
784000.0,75.0,3.0,75010,Paris 10e Arrondissement,RUE BUISSON ST LOUIS,Appartement,48.873281,2.374994
186000.0,20.0,1.0,75009,Paris 9e Arrondissement,RUE NOTRE-DAME DE LORETTE,Appartement,48.879706,2.336368
254000.0,30.0,1.0,75010,Paris 10e Arrondissement,RUE BUISSON ST LOUIS,Appartement,48.872566,2.374538
250000.0,16.0,1.0,75009,Paris 9e Arrondissement,RUE DE ROCHECHOUART,Appartement,48.879296,2.345011
743000.0,64.0,3.0,75010,Paris 10e Arrondissement,RUE DU CHATEAU LANDON,Appartement,48.879833,2.36272
100000.0,13.0,1.0,75010,Paris 10e Arrondissement,RUE DE L ECHIQUIER,Appartement,48.87107,2.351948
420000.0,38.0,2.0,75018,Paris 18e Arrondissement,RUE FEUTRIER,Appartement,48.886462,2.346351
579200.0,51.0,3.0,75017,Paris 17e Arrondissement,RUE CLAIRAUT,Appartement,48.888476,2.31976
552000.0,45.0,3.0,75018,Paris 18e Arrondissement,RUE SEVESTE,Appartement,48.883857,2.344858
317770.0,30.0,2.0,75018,Paris 18e Arrondissement,RUE JOSEPH DIJON,Appartement,48.893921,2.346169
295000.0,46.0,3.0,75018,Paris 18e Arrondissement,RUE DES ABBESSES,Appartement,48.885398,2.335656
585000.0,45.0,2.0,75017,Paris 17e Arrondissement,RUE DULONG,Appartement,48.884207,2.316974
922800.0,59.0,3.0,75017,Paris 17e Arrondissement,RUE TRUFFAUT,Appartement,48.887369,2.31863
1725000.0,136.0,5.0,75017,Paris 17e Arrondissement,BD PEREIRE,Appartement,48.881907,2.292273
577550.0,51.0,3.0,75020,Paris 20e Arrondissement,RUE DES HAIES,Appartement,48.852697,2.399936
310000.0,35.0,3.0,75020,Paris 20e Arrondissement,RUE DE BAGNOLET,Appartement,48.856564,2.396653
1180850.0,110.0,4.0,75002,Paris 2e Arrondissement,RUE DU CAIRE,Appartement,48.867373,2.352381
554000.0,50.0,2.0,75010,Paris 10e Arrondissement,BD DE MAGENTA,Appartement,48.871025,2.360331
554000.0,64.0,3.0,75010,Paris 10e Arrondissement,BD DE MAGENTA,Appartement,48.871025,2.360331
585000.0,49.0,2.0,75017,Paris 17e Arrondissement,RUE CARDINET,Appartement,48.890944,2.31643
275000.0,63.0,2.0,75020,Paris 20e Arrondissement,RUE CHARLES FRIEDEL,Appartement,48.873221,2.395521
1330000.0,90.0,3.0,75017,Paris 17e Arrondissement,RUE MILNE EDWARDS,Appartement,48.88298,2.292542
536800.0,55.0,3.0,75020,Paris 20e Arrondissement,RUE DES HAIES,Appartement,48.852852,2.400236
115000.0,12.0,1.0,75020,Paris 20e Arrondissement,RUE PLANCHAT,Appartement,48.853217,2.398768
335000.0,27.0,2.0,75018,Paris 18e Arrondissement,RUE CHAMPIONNET,Appartement,48.895806,2.348054
304000.0,24.0,2.0,75009,Paris 9e Arrondissement,RUE DE MONTHOLON,Appartement,48.876732,2.34845
580000.0,44.0,3.0,75018,Paris 18e Arrondissement,VLA SAINT MICHEL,Appartement,48.889649,2.328363
110000.0,17.0,1.0,75009,Paris 9e Arrondissement,RUE DE LA TOUR DES DAMES,Appartement,48.8776,2.33254
423030.0,43.0,3.0,75018,Paris 18e Arrondissement,RUE CUSTINE,Appartement,48.887266,2.34912
703000.0,58.0,2.0,75020,Paris 20e Arrondissement,RUE DE LA CHINE,Appartement,48.869106,2.397498
260000.0,24.0,1.0,75019,Paris 19e Arrondissement,PAS DESGRAIS,Appartement,48.891561,2.37291
260000.0,24.0,1.0,75019,Paris 19e Arrondissement,PAS DESGRAIS,Appartement,48.891561,2.37291
322000.0,40.0,3.0,75018,Paris 18e Arrondissement,RUE ANGELIQUE COMPOINT,Appartement,48.89726,2.33528
237000.0,20.0,1.0,75017,Paris 17e Arrondissement,RUE GUY MOQUET,Appartement,48.89256,2.324082
145900.0,14.0,1.0,75020,Paris 20e Arrondissement,RUE DE LA CHINE,Appartement,48.869056,2.397223
951465.0,110.0,4.0,75019,Paris 19e Arrondissement,AV MATHURIN MOREAU,Appartement,48.879017,2.376389
800000.0,71.0,3.0,75009,Paris 9e Arrondissement,RUE DE MAUBEUGE,Appartement,48.879308,2.347613
133000.0,13.0,1.0,75017,Paris 17e Arrondissement,RUE DU DOCTEUR HEULIN,Appartement,48.891013,2.324759
329920.0,20.0,2.0,75004,Paris 4e Arrondissement,RUE LE REGRATTIER,Appartement,48.851911,2.354676
330000.0,25.0,1.0,75019,Paris 19e Arrondissement,PAS DE LA MOSELLE,Appartement,48.884382,2.377607
454900.0,62.0,3.0,75020,Paris 20e Arrondissement,RUE ALPHONSE PENAUD,Appartement,48.868551,2.405847
278000.0,38.0,2.0,75020,Paris 20e Arrondissement,RUE AUGER,Appartement,48.850911,2.399414
600000.0,58.0,3.0,75010,Paris 10e Arrondissement,RUE DU FBG ST MARTIN,Appartement,48.872284,2.357044
540000.0,49.0,2.0,75018,Paris 18e Arrondissement,RUE VAUVENARGUES,Appartement,48.893165,2.33266
591550.0,33.0,1.0,75018,Paris 18e Arrondissement,RUE D ORAN,Appartement,48.889176,2.352408
591550.0,21.0,1.0,75018,Paris 18e Arrondissement,RUE D ORAN,Appartement,48.889176,2.352408
591550.0,26.0,1.0,75018,Paris 18e Arrondissement,RUE D ORAN,Appartement,48.889176,2.352408
365000.0,32.0,2.0,75003,Paris 3e Arrondissement,RUE COMMINES,Appartement,48.861447,2.364918
273000.0,33.0,2.0,75019,Paris 19e Arrondissement,RUE DU RHIN,Appartement,48.884218,2.381874
210000.0,20.0,1.0,75003,Paris 3e Arrondissement,RUE CHAPON,Appartement,48.86427,2.35321
360000.0,38.0,2.0,75010,Paris 10e Arrondissement,PAS DELESSERT,Appartement,48.878782,2.365172
387210.0,33.0,1.0,75009,Paris 9e Arrondissement,RUE PETRELLE,Appartement,48.880974,2.346963
860000.0,45.0,2.0,75004,Paris 4e Arrondissement,RUE BOUTAREL,Appartement,48.852426,2.354122
142500.0,15.0,1.0,75018,Paris 18e Arrondissement,RUE CALMELS,Appartement,48.893375,2.339916
295000.0,30.0,1.0,75020,Paris 20e Arrondissement,RUE PIXERECOURT,Appartement,48.870454,2.394878
620000.0,89.0,5.0,75020,Paris 20e Arrondissement,ALL GEORGES ROUAULT,Appartement,48.869706,2.384231
234300.0,30.0,1.0,75020,Paris 20e Arrondissement,RUE DE BAGNOLET,Appartement,48.856499,2.39548
188010.0,19.0,2.0,75020,Paris 20e Arrondissement,RUE D AVRON,Appartement,48.851681,2.402088
390000.0,43.0,2.0,75018,Paris 18e Arrondissement,RUE D AUBERVILLIERS,Appartement,48.88527,2.364914
110000.0,12.0,1.0,75020,Paris 20e Arrondissement,RUE DE MENILMONTANT,Appartement,48.867774,2.386761
810000.0,56.0,3.0,75009,Paris 9e Arrondissement,RUE HIPPOLYTE LEBAS,Appartement,48.877191,2.341115
344500.0,28.0,2.0,75017,Paris 17e Arrondissement,RUE JOUFFROY D'ABBANS,Appartement,48.886912,2.312946
312090.0,32.0,2.0,75019,Paris 19e Arrondissement,AV JEAN JAURES,Appartement,48.88443,2.377781
300000.0,28.0,1.0,75020,Paris 20e Arrondissement,RUE SAINT FARGEAU,Appartement,48.872381,2.403264
290000.0,28.0,1.0,75020,Paris 20e Arrondissement,RUE DE LA JUSTICE,Appartement,48.868237,2.408002
400000.0,34.0,1.0,75004,Paris 4e Arrondissement,RUE CASTEX,Appartement,48.852542,2.3656
778200.0,72.0,3.0,75010,Paris 10e Arrondissement,RUE DES PETITES ECURIES,Appartement,48.873116,2.352617
560125.0,86.0,4.0,75019,Paris 19e Arrondissement,RUE DE BELLEVILLE,Appartement,48.876651,2.403447
138000.0,23.0,1.0,75018,Paris 18e Arrondissement,RUE PUGET,Appartement,48.883932,2.333753
150000.0,13.0,1.0,75009,Paris 9e Arrondissement,RUE SAINT-GEORGES,Appartement,48.877025,2.336877
1523850.0,138.0,5.0,75009,Paris 9e Arrondissement,RUE DU FG POISSONNIERE,Appartement,48.880687,2.349509
860000.0,87.0,4.0,75020,Paris 20e Arrondissement,RUE DES MARAICHERS,Appartement,48.849311,2.408165
368600.0,30.0,1.0,75008,Paris 8e Arrondissement,RUE DU FAUBOURG SAINT HONORE,Appartement,48.869787,2.320183
480000.0,69.0,3.0,75020,Paris 20e Arrondissement,RUE ERNEST LEFEVRE,Appartement,48.868311,2.402958
196550.0,19.0,2.0,75010,Paris 10e Arrondissement,RUE JEAN ET MARIE MOINON,Appartement,48.874546,2.37191
360000.0,38.0,2.0,75020,Paris 20e Arrondissement,RUE DES ENVIERGES,Appartement,48.871625,2.38645
820700.0,78.0,4.0,75019,Paris 19e Arrondissement,AV JEAN JAURES,Appartement,48.884625,2.375535
1080000.0,80.0,3.0,75002,Paris 2e Arrondissement,BD DE BONNE NOUVELLE,Appartement,48.869889,2.350301
430000.0,46.0,2.0,75018,Paris 18e Arrondissement,RUE DE TORCY,Appartement,48.891431,2.363731
753000.0,60.0,3.0,75018,Paris 18e Arrondissement,VLA ORNANO,Appartement,48.896391,2.345251
515000.0,57.0,3.0,75019,Paris 19e Arrondissement,AV DE FLANDRE,Appartement,48.886413,2.372322
369262.0,39.0,2.0,75020,Paris 20e Arrondissement,RUE DE BAGNOLET,Appartement,48.856494,2.396993
313000.0,27.0,2.0,75017,Paris 17e Arrondissement,RUE DES MOINES,Appartement,48.893271,2.322838
460500.0,36.0,1.0,75008,Paris 8e Arrondissement,RUE DE PONTHIEU,Appartement,48.872341,2.305643
298000.0,33.0,2.0,75019,Paris 19e Arrondissement,RUE LALLY TOLLENDAL,Appartement,48.883375,2.374062
280000.0,36.0,2.0,75018,Paris 18e Arrondissement,RUE MARX DORMOY,Appartement,48.887721,2.359116
290754.0,64.0,3.0,75018,Paris 18e Arrondissement,RUE HERMANN LACHAPELLE,Appartement,48.894193,2.35144
520000.0,44.0,3.0,75003,Paris 3e Arrondissement,RUE CHARLOT,Appartement,48.864284,2.363918
455000.0,35.0,3.0,75017,Paris 17e Arrondissement,RUE LANTIEZ,Appartement,48.893666,2.322979
135700.0,16.0,1.0,75018,Paris 18e Arrondissement,RUE VERSIGNY,Appartement,48.89464,2.344725
1123600.0,110.0,4.0,75001,Paris 1er Arrondissement,RUE ETIENNE MARCEL,Appartement,48.863311,2.350362
428800.0,42.0,2.0,75017,Paris 17e Arrondissement,RUE DAUTANCOURT,Appartement,48.889653,2.324054
532400.0,35.0,2.0,75008,Paris 8e Arrondissement,RUE CHATEAUBRIAND,Appartement,48.873295,2.302063
380000.0,33.0,2.0,75018,Paris 18e Arrondissement,PL CHARLES BERNARD,Appartement,48.893378,2.343103
